,Question,Answer
1565,"These projections , called papillae , have what?",a rich blood supply
1566,The eggs of the largest species are what?,spherical
1567,Has this inspired genetic researchers to begin examining the turtle genome for longevity genes ?,yes
1568,Can turtles take many years to reach breeding age ?,yes
1569,Are Immature sea turtles not cared for by the adults ?,yes
1570,"Are the Pleurodira sometimes known as the side-necked turtles , a reference to the way they withdraw their heads into their shells ?",yes
1571,"Does the Order Testudines not include both extant -LRB- living -RRB- and extinct species , the earliest known turtles being from around 215 million years ago ?",yes
1572,Was Ulysses Grant a general in the American Civil War?,Yes
1573,Was Ulysses Grant a general in the American Civil War?,yes
1574,Was Grant's father-in-law a Democrat?,Yes
1575,Was Grant's father-in-law a Democrat?,yup
1576,Did Ulysses win the Battle of Champion Hill?,Yes
1577,Did Ulysses win the Battle of Champion Hill?,you betcha
1578,Who was Grant's brother in law?,Fred Dent
1579,Who was Grant's brother in law?,Fred Dent
1580,Where was Grant born?,"Point Pleasant, Ohio"
1581,Where was Grant born?,"A log cabin in Point Pleasant, Clermont County, Ohio"
1582,What was Grant's political affiliation?,Republican
1583,What was Grant's political affiliation?,Republican
1584,"Why did Grant say ""Damn, I had nothing to do with this batte.""?",It went well.
1585,"Why did Grant say ""Damn, I had nothing to do with this batte.""?",Because the generals under him acted on their own.
1586,Did Horace Greenley lose in the presidential elections of 1872?,Yes
1587,Did Horace Greenley lose in the presidential elections of 1872?,si
1588,Why did Grant think that war was unjust?,He thought it was designed to gain land open to slavery.
1589,Why did Grant think that war was unjust?,He accepted the theory that it was designed to gain land open to slavery.
1590,Who achieved international fame as the leading Union general in the American Civil War?,Grant
1591,Grant was elected president as a Republican in what year?,1868
1592,Who took a hard line that reduced violence by groups like the Ku Klux Klan?,Grant
1593,When did he vote for democrat james buchanan?,1856
1594,"Who did President Lincoln promote of major general in the regular army, effective July 4?",Grant
1595,Was Grant elected president as a Republican?,yes
1596,What was from Pennsylvania?,His father
1597,Was it a two-sentence description that completely caught the essence of Ulysses S. Grant ?,yes
1598,Was Grant 's favorite brand of bourbon whiskey Old Crow ?,yes
1599,Had he smoked only sporadically ?,yes
1600,"Did Grant & Perkins not sell harnesses , saddles , and other leather goods and purchase hides from farmers in the prosperous Galena area ?",they did
1601,Is the famous dragon gate at the entrance to the district at the corner of Grant and Bush Street ?,yes
1602,What happened in 1865?,he accepted the surrender of Robert E. Lee
1603,What happened in recent years?,his reputation as president has improved
1604,Is Uruguay located in the northwesten part of Africa?,No.
1605,Is Uruguay located in the northwesten part of Africa?,no
1606,Is Uruguay's capital Montevideo?,Yes.
1607,Is Uruguay's capital Montevideo?,yes
1608,Does Uruguay have cold summers?,No.
1609,Does Uruguay have cold summers?,no
1610,Who founded Montevideo?,The Spanish.
1611,Who founded Montevideo?,the Spanish
1612,Where is Uruguay's oldest church?,"San Carlos, Maldonado."
1613,Where is Uruguay's oldest church?,"San Carlos, Maldonado"
1614,Who heavily influenced the architecture and culture of Montevideo?,European immigrants.
1615,Who heavily influenced the architecture and culture of Montevideo?,European immigrants
1616,What are poor neighborhoods called informally?,Cantegriles.
1617,What are poor neighborhoods called informally?,Cantegriles
1618,Is uruguay's landscape mountainous?,No.
1619,Is uruguay's landscape mountainous?,not really?
1620,What religion do most Uruguayans profess?,None.
1621,What religion do most Uruguayans profess?,Roman Catholic
1622,Is Uruguay located in South America?,Yes. It's located in the southeastern part
1623,Is Uruguay located in South America?,Yes
1624,Can citizens propose changes to the Constitution?,Yes. People are allowed to challenge laws.
1625,Can citizens propose changes to the Constitution?,Yes
1626,Did Uruguay host the first ever World Cup?,"Yes, in 1930."
1627,Did Uruguay host the first ever World Cup?,Yes
1628,Who founded Montevideo?,"By the Spanish, in the early 18th century"
1629,Who founded Montevideo?,Montevideo was founded by the Spanish in the early 18th century as a military stronghold.
1630,How many square kilometres of continental land is Uruguay?,176.215 km©÷ 
1631,How many square kilometres of continental land is Uruguay?,"176,214 square kilometres"
1632,How much of the population is of white European descent?,88%
1633,How much of the population is of white European descent?,Approximately 88% of its population are of prevalently white European descent.
1634,Why was the capital of Uruguay founded?,For a military stronghold.
1635,Why was the capital of Uruguay founded?,"Uruguay's capital, Montevideo, was founded by the Spanish in the early 18th century as a military stronghold."
1636,How many times has Uruguay won the World Cup?,Twice. 
1637,How many times has Uruguay won the World Cup?,On two or more occasions.
1638,How much is the average income of an African woman compared to a European man?,African women earns 0.65 * 0.718  = 46.67% of a European man earns in average
1639,Does Uruguay recognize same-sex civil unions?,Yes
1640,Does Uruguay recognize same-sex civil unions?,Yes
1641,Does Uruguay border French Guiana?,No
1642,Does Uruguay border French Guiana?,No
1643,Is Uruguay's warmest month June?,No
1644,Is Uruguay's warmest month June?,No
1645,What does a citizen use to propose changes to the Constitution?,Referendum
1646,What does a citizen use to propose changes to the Constitution?,Plebiscite
1647,Where is Uruguay's oldest church?,"San Carlos, Maldonado"
1648,Where is Uruguay's oldest church?,"San Carlos, Maldonado"
1649,What religions are found in Uruguay?,"Roman Catholic, Protestant, Jewish, and nonprofessing."
1650,What religions are found in Uruguay?,"Roman Catholic, Protestant, Jewish"
1651,What has Uruguay done to be competitive in agriculture?,"Labeling as ""Natural"" or ""Ecological"""
1652,What has Uruguay done to be competitive in agriculture?,"Use low inputs of labour, technology, and capital, which results in lower yields but also opens the door for Uruguay to market its products as ""natural"" or ""ecological"""
1653,What are the names of Uruguay's political parties?,Partido Colorado and Partido Blanco
1654,What are the names of Uruguay's political parties?,Partido Blanco and Partido Colorado
1655,Is Uruguay the smallest soverign nation in South America?,No
1656,Is Uruguay the smallest soverign nation in South America?,No
1657,What was founded by the Spanish in the early 18th century as a military stronghold?,Montevideo
1658,What has many possible meanings?,(What?)
1659,How do india and latin america relate?,Uruguay exports architectural services to India and Latin America
1660,What did Uruguay win in 1828?,Its independence
1661,Is Uruguay very common?,No?
1662,Is The climate in Uruguay temperate?,Yes
1663,Is the main sport in Uruguay football ?,Yes
1664,"Is Uruguay 's oldest church in San Carlos , Maldonado ?",Yes
1665,Is Uruguay a member of the Cairns Group of exporters of agricultural products ?,Yes
1666,Is it widely considered the most secular nation in Latin America ?,Yes
1667,"Is it the second smallest independent country in south america , larger only than suriname and the french overseas department of french guiana?",Yes
1668,"Is it a constitutional democracy , where the president fulfills the roles of both head of state and head of government?",Yes
1669,Was Woodrow Wilson the thirtieth President of the United States?,no
1670,Was Woodrow Wilson the thirtieth President of the United States?,No
1671,Did Woodrow Wilson create the League of Nations?,yes
1672,Did Woodrow Wilson create the League of Nations?,Yes
1673,Did the U.S. join the League of Nations?,no
1674,Did the U.S. join the League of Nations?,No
1675,Where was the League of Nations created?,Paris
1676,Where was the League of Nations created?,Paris
1677,When was Woodrow Wilson born?,"December 28, 1856"
1678,When was Woodrow Wilson born?,"December 28, 1856"
1679,Who was President when Wilson finished Congressional Government?,Grover Cleveland
1680,Who was President when Wilson finished Congressional Government?,Grover Cleveland
1681,What field did Woodrow Wilson leave law practice to study?,history and political science
1682,What field did Woodrow Wilson leave law practice to study?,Government
1683,What caused Wilson to ask Congress to declare war on the Central Powers?,German began unrestricted submarine warfare
1684,What caused Wilson to ask Congress to declare war on the Central Powers?,World War I
1685,What was more damaging than moving students into colleges?,His confrontation with Andrew Fleming West
1686,Was Wilson a member of the Phi Kappa Psi fraternity?,yes
1687,Was Wilson a member of the Phi Kappa Psi fraternity?,Totally.\t
1688,Was Wilson an automobile enthusiast?,yes
1689,Was Wilson an automobile enthusiast?,ouai
1690,Did Wilson's father own slaves?,yes
1691,Did Wilson's father own slaves?,Yeah
1692,Where is Wilson buried?,He was buried in Washington National Cathedral
1693,Where is Wilson buried?,Washington National Cathedral
1694,Where did Wilson attend law school?,Wilson attended law school at University of Virginia
1695,Where did Wilson attend law school?,University of Virginia
